phc2sys[7941744.160]: CLOCK_REALTIME phc offset       221 s2 freq  +10558 delay   2370
phc2sys[7941745.160]: CLOCK_REALTIME phc offset      -126 s2 freq  +10277 delay   1944
phc2sys[7941746.160]: CLOCK_REALTIME phc offset       335 s2 freq  +10700 delay   2164
phc2sys[7941747.160]: CLOCK_REALTIME phc offset       -46 s2 freq  +10420 delay   2326
phc2sys[7941748.161]: CLOCK_REALTIME phc offset       -90 s2 freq  +10362 delay   2371
phc2sys[7941749.161]: CLOCK_REALTIME phc offset       -26 s2 freq  +10399 delay   2336
phc2sys[7941750.162]: CLOCK_REALTIME phc offset       -46 s2 freq  +10371 delay   2330
phc2sys[7941751.162]: CLOCK_REALTIME phc offset      -221 s2 freq  +10182 delay   1940
phc2sys[7941752.162]: CLOCK_REALTIME phc offset       201 s2 freq  +10538 delay   2375
phc2sys[7941753.163]: CLOCK_REALTIME phc offset        55 s2 freq  +10452 delay   2376
phc2sys[7941754.163]: CLOCK_REALTIME phc offset         8 s2 freq  +10422 delay   2370
phc2sys[7941755.163]: CLOCK_REALTIME phc offset         9 s2 freq  +10425 delay   2325
phc2sys[7941756.164]: CLOCK_REALTIME phc offset      -232 s2 freq  +10187 delay   1950
phc2sys[7941757.164]: CLOCK_REALTIME phc offset       -54 s2 freq  +10295 delay   1964
phc2sys[7941758.164]: CLOCK_REALTIME phc offset       330 s2 freq  +10663 delay   2331
phc2sys[7941759.165]: CLOCK_REALTIME phc offset        40 s2 freq  +10472 delay   2365
phc2sys[7941760.165]: CLOCK_REALTIME phc offset        84 s2 freq  +10528 delay   2185
phc2sys[7941761.165]: CLOCK_REALTIME phc offset      -161 s2 freq  +10308 delay   2370
phc2sys[7941762.166]: CLOCK_REALTIME phc offset       -44 s2 freq  +10377 delay   2326
phc2sys[7941763.166]: CLOCK_REALTIME phc offset       -40 s2 freq  +10368 delay   2335
phc2sys[7941764.166]: CLOCK_REALTIME phc offset       -28 s2 freq  +10368 delay   2370
phc2sys[7941765.167]: CLOCK_REALTIME phc offset        37 s2 freq  +10424 delay   2330
phc2sys[7941766.167]: CLOCK_REALTIME phc offset       -14 s2 freq  +10384 delay   2366
phc2sys[7941767.168]: CLOCK_REALTIME phc offset        22 s2 freq  +10416 delay   2325
phc2sys[7941768.168]: CLOCK_REALTIME phc offset         1 s2 freq  +10402 delay   2381
phc2sys[7941769.168]: CLOCK_REALTIME phc offset       -13 s2 freq  +10388 delay   2325
phc2sys[7941770.169]: CLOCK_REALTIME phc offset       -19 s2 freq  +10378 delay   2375
phc2sys[7941771.169]: CLOCK_REALTIME phc offset        42 s2 freq  +10433 delay   2325
phc2sys[7941772.169]: CLOCK_REALTIME phc offset       -40 s2 freq  +10364 delay   2376
phc2sys[7941773.170]: CLOCK_REALTIME phc offset        11 s2 freq  +10403 delay   2370
phc2sys[7941774.170]: CLOCK_REALTIME phc offset        30 s2 freq  +10425 delay   2330
phc2sys[7941775.170]: CLOCK_REALTIME phc offset       -32 s2 freq  +10372 delay   2375
phc2sys[7941776.171]: CLOCK_REALTIME phc offset        17 s2 freq  +10412 delay   2331
phc2sys[7941777.171]: CLOCK_REALTIME phc offset         2 s2 freq  +10402 delay   2325
phc2sys[7941778.172]: CLOCK_REALTIME phc offset       -18 s2 freq  +10382 delay   2371
phc2sys[7941779.172]: CLOCK_REALTIME phc offset        33 s2 freq  +10428 delay   2326
phc2sys[7941780.172]: CLOCK_REALTIME phc offset        12 s2 freq  +10417 delay   2330
phc2sys[7941781.173]: CLOCK_REALTIME phc offset       -24 s2 freq  +10385 delay   2340
phc2sys[7941782.173]: CLOCK_REALTIME phc offset         0 s2 freq  +10401 delay   2375
phc2sys[7941783.173]: CLOCK_REALTIME phc offset       -11 s2 freq  +10390 delay   2370
phc2sys[7941784.174]: CLOCK_REALTIME phc offset        29 s2 freq  +10427 delay   2365
phc2sys[7941785.174]: CLOCK_REALTIME phc offset         5 s2 freq  +10412 delay   2370
phc2sys[7941786.174]: CLOCK_REALTIME phc offset      -226 s2 freq  +10182 delay   1944
phc2sys[7941787.175]: CLOCK_REALTIME phc offset       247 s2 freq  +10587 delay   2375
phc2sys[7941788.175]: CLOCK_REALTIME phc offset        78 s2 freq  +10493 delay   2375
phc2sys[7941789.176]: CLOCK_REALTIME phc offset        22 s2 freq  +10460 delay   2330
phc2sys[7941790.176]: CLOCK_REALTIME phc offset       -67 s2 freq  +10378 delay   2370
phc2sys[7941791.176]: CLOCK_REALTIME phc offset       -27 s2 freq  +10397 delay   2370
phc2sys[7941792.177]: CLOCK_REALTIME phc offset       -14 s2 freq  +10402 delay   2365
phc2sys[7941793.177]: CLOCK_REALTIME phc offset        -7 s2 freq  +10405 delay   2366
phc2sys[7941794.177]: CLOCK_REALTIME phc offset        24 s2 freq  +10434 delay   2345
phc2sys[7941795.178]: CLOCK_REALTIME phc offset        22 s2 freq  +10439 delay   2330
phc2sys[7941796.178]: CLOCK_REALTIME phc offset         5 s2 freq  +10429 delay   2335
phc2sys[7941797.179]: CLOCK_REALTIME phc offset      -271 s2 freq  +10154 delay   1949
phc2sys[7941798.179]: CLOCK_REALTIME phc offset       193 s2 freq  +10537 delay   2381
phc2sys[7941799.179]: CLOCK_REALTIME phc offset        98 s2 freq  +10500 delay   2376
phc2sys[7941800.180]: CLOCK_REALTIME phc offset         0 s2 freq  +10431 delay   2366
phc2sys[7941801.180]: CLOCK_REALTIME phc offset         2 s2 freq  +10433 delay   2375
phc2sys[7941802.180]: CLOCK_REALTIME phc offset      -200 s2 freq  +10232 delay   2370
phc2sys[7941803.181]: CLOCK_REALTIME phc offset      -152 s2 freq  +10220 delay   2336
phc2sys[7941804.181]: CLOCK_REALTIME phc offset       -33 s2 freq  +10293 delay   2371
phc2sys[7941805.182]: CLOCK_REALTIME phc offset        86 s2 freq  +10402 delay   2370
phc2sys[7941806.182]: CLOCK_REALTIME phc offset        84 s2 freq  +10426 delay   2375
phc2sys[7941807.182]: CLOCK_REALTIME phc offset        69 s2 freq  +10436 delay   2375
phc2sys[7941808.183]: CLOCK_REALTIME phc offset        65 s2 freq  +10453 delay   2375
phc2sys[7941809.183]: CLOCK_REALTIME phc offset        27 s2 freq  +10435 delay   2320
phc2sys[7941810.184]: CLOCK_REALTIME phc offset       -17 s2 freq  +10399 delay   2325
phc2sys[7941811.184]: CLOCK_REALTIME phc offset        92 s2 freq  +10503 delay   2214
phc2sys[7941812.184]: CLOCK_REALTIME phc offset         9 s2 freq  +10447 delay   2152
phc2sys[7941813.184]: CLOCK_REALTIME phc offset      -159 s2 freq  +10282 delay   2365
phc2sys[7941814.185]: CLOCK_REALTIME phc offset        -7 s2 freq  +10386 delay   2341
phc2sys[7941815.185]: CLOCK_REALTIME phc offset       -23 s2 freq  +10368 delay   2375
phc2sys[7941816.186]: CLOCK_REALTIME phc offset        -6 s2 freq  +10378 delay   2365
phc2sys[7941817.186]: CLOCK_REALTIME phc offset      -212 s2 freq  +10170 delay   1949
phc2sys[7941818.186]: CLOCK_REALTIME phc offset       256 s2 freq  +10575 delay   2375
phc2sys[7941819.187]: CLOCK_REALTIME phc offset        96 s2 freq  +10492 delay   2330
phc2sys[7941820.187]: CLOCK_REALTIME phc offset        -2 s2 freq  +10422 delay   2325
phc2sys[7941821.187]: CLOCK_REALTIME phc offset       -47 s2 freq  +10377 delay   2375
phc2sys[7941822.188]: CLOCK_REALTIME phc offset      -239 s2 freq  +10171 delay   1949
phc2sys[7941823.188]: CLOCK_REALTIME phc offset       -26 s2 freq  +10312 delay   1945
phc2sys[7941824.188]: CLOCK_REALTIME phc offset        76 s2 freq  +10406 delay   1949
phc2sys[7941825.189]: CLOCK_REALTIME phc offset       313 s2 freq  +10666 delay   2320
phc2sys[7941826.189]: CLOCK_REALTIME phc offset      -193 s2 freq  +10254 delay   1984
phc2sys[7941827.190]: CLOCK_REALTIME phc offset       296 s2 freq  +10685 delay   2191
phc2sys[7941828.190]: CLOCK_REALTIME phc offset      -124 s2 freq  +10354 delay   2375
phc2sys[7941829.190]: CLOCK_REALTIME phc offset      -273 s2 freq  +10168 delay   1950
phc2sys[7941830.191]: CLOCK_REALTIME phc offset       156 s2 freq  +10515 delay   2376
phc2sys[7941831.191]: CLOCK_REALTIME phc offset        55 s2 freq  +10461 delay   2380
phc2sys[7941832.191]: CLOCK_REALTIME phc offset        22 s2 freq  +10444 delay   2370
phc2sys[7941833.192]: CLOCK_REALTIME phc offset        74 s2 freq  +10503 delay   2206
phc2sys[7941834.192]: CLOCK_REALTIME phc offset      -166 s2 freq  +10285 delay   2376
phc2sys[7941835.192]: CLOCK_REALTIME phc offset       -30 s2 freq  +10371 delay   2375
phc2sys[7941836.193]: CLOCK_REALTIME phc offset        18 s2 freq  +10410 delay   2335
phc2sys[7941837.193]: CLOCK_REALTIME phc offset       -19 s2 freq  +10378 delay   2375
phc2sys[7941838.194]: CLOCK_REALTIME phc offset        48 s2 freq  +10440 delay   2325
phc2sys[7941839.194]: CLOCK_REALTIME phc offset         7 s2 freq  +10413 delay   2325
phc2sys[7941840.194]: CLOCK_REALTIME phc offset       -16 s2 freq  +10392 delay   2325
phc2sys[7941841.195]: CLOCK_REALTIME phc offset       -40 s2 freq  +10363 delay   2375
phc2sys[7941842.195]: CLOCK_REALTIME phc offset       -19 s2 freq  +10372 delay   2380
phc2sys[7941843.196]: CLOCK_REALTIME phc offset        64 s2 freq  +10450 delay   2346
phc2sys[7941844.196]: CLOCK_REALTIME phc offset       -16 s2 freq  +10389 delay   2375
phc2sys[7941845.196]: CLOCK_REALTIME phc offset       -27 s2 freq  +10373 delay   2375
phc2sys[7941846.197]: CLOCK_REALTIME phc offset        36 s2 freq  +10428 delay   2340
phc2sys[7941847.197]: CLOCK_REALTIME phc offset        -3 s2 freq  +10400 delay   2380
phc2sys[7941848.198]: CLOCK_REALTIME phc offset        32 s2 freq  +10434 delay   2345
phc2sys[7941849.198]: CLOCK_REALTIME phc offset       -40 s2 freq  +10372 delay   2370
phc2sys[7941850.198]: CLOCK_REALTIME phc offset       -11 s2 freq  +10389 delay   2371
phc2sys[7941851.199]: CLOCK_REALTIME phc offset        27 s2 freq  +10423 delay   2330
phc2sys[7941852.199]: CLOCK_REALTIME phc offset        -7 s2 freq  +10397 delay   2320
phc2sys[7941853.199]: CLOCK_REALTIME phc offset       -19 s2 freq  +10383 delay   2370
phc2sys[7941854.200]: CLOCK_REALTIME phc offset        -3 s2 freq  +10394 delay   2371
phc2sys[7941855.200]: CLOCK_REALTIME phc offset        14 s2 freq  +10410 delay   2375
phc2sys[7941856.200]: CLOCK_REALTIME phc offset        -1 s2 freq  +10399 delay   2370
phc2sys[7941857.201]: CLOCK_REALTIME phc offset        10 s2 freq  +10410 delay   2325
phc2sys[7941858.201]: CLOCK_REALTIME phc offset       -12 s2 freq  +10391 delay   2330
phc2sys[7941859.201]: CLOCK_REALTIME phc offset       -10 s2 freq  +10389 delay   2370
phc2sys[7941860.202]: CLOCK_REALTIME phc offset       -18 s2 freq  +10378 delay   2365
phc2sys[7941861.202]: CLOCK_REALTIME phc offset         5 s2 freq  +10396 delay   2375
phc2sys[7941862.203]: CLOCK_REALTIME phc offset        -6 s2 freq  +10386 delay   2371
phc2sys[7941863.203]: CLOCK_REALTIME phc offset        47 s2 freq  +10437 delay   2325
phc2sys[7941864.203]: CLOCK_REALTIME phc offset       -27 s2 freq  +10377 delay   2371
phc2sys[7941865.204]: CLOCK_REALTIME phc offset         0 s2 freq  +10396 delay   2375
phc2sys[7941866.204]: CLOCK_REALTIME phc offset        12 s2 freq  +10408 delay   2376
phc2sys[7941867.204]: CLOCK_REALTIME phc offset        -5 s2 freq  +10395 delay   2371
phc2sys[7941868.205]: CLOCK_REALTIME phc offset        44 s2 freq  +10442 delay   2321
phc2sys[7941869.205]: CLOCK_REALTIME phc offset       -28 s2 freq  +10384 delay   2376
phc2sys[7941870.206]: CLOCK_REALTIME phc offset      -239 s2 freq  +10164 delay   1959
phc2sys[7941871.206]: CLOCK_REALTIME phc offset       240 s2 freq  +10571 delay   2325
phc2sys[7941872.206]: CLOCK_REALTIME phc offset        47 s2 freq  +10450 delay   2371
phc2sys[7941873.207]: CLOCK_REALTIME phc offset         4 s2 freq  +10422 delay   2375
phc2sys[7941874.207]: CLOCK_REALTIME phc offset       -10 s2 freq  +10409 delay   2376
phc2sys[7941875.207]: CLOCK_REALTIME phc offset       -18 s2 freq  +10398 delay   2375
phc2sys[7941876.208]: CLOCK_REALTIME phc offset       -11 s2 freq  +10399 delay   2325
phc2sys[7941877.208]: CLOCK_REALTIME phc offset       -26 s2 freq  +10381 delay   2370
phc2sys[7941878.208]: CLOCK_REALTIME phc offset        -7 s2 freq  +10392 delay   2371
phc2sys[7941879.209]: CLOCK_REALTIME phc offset       -15 s2 freq  +10382 delay   2375
phc2sys[7941880.209]: CLOCK_REALTIME phc offset      -201 s2 freq  +10192 delay   1940
phc2sys[7941881.210]: CLOCK_REALTIME phc offset       227 s2 freq  +10559 delay   2330
phc2sys[7941882.210]: CLOCK_REALTIME phc offset        76 s2 freq  +10476 delay   2326
phc2sys[7941883.210]: CLOCK_REALTIME phc offset        -5 s2 freq  +10418 delay   2320
phc2sys[7941884.211]: CLOCK_REALTIME phc offset       -65 s2 freq  +10357 delay   2370
phc2sys[7941885.211]: CLOCK_REALTIME phc offset      -243 s2 freq  +10159 delay   1944
phc2sys[7941886.211]: CLOCK_REALTIME phc offset       236 s2 freq  +10565 delay   2330
phc2sys[7941887.212]: CLOCK_REALTIME phc offset        53 s2 freq  +10453 delay   2370
phc2sys[7941888.212]: CLOCK_REALTIME phc offset        20 s2 freq  +10436 delay   2320
phc2sys[7941889.212]: CLOCK_REALTIME phc offset       -33 s2 freq  +10389 delay   2375
phc2sys[7941890.213]: CLOCK_REALTIME phc offset       -50 s2 freq  +10362 delay   2365
phc2sys[7941891.213]: CLOCK_REALTIME phc offset       -13 s2 freq  +10384 delay   2370
phc2sys[7941892.214]: CLOCK_REALTIME phc offset        33 s2 freq  +10426 delay   2331
phc2sys[7941893.214]: CLOCK_REALTIME phc offset        75 s2 freq  +10478 delay   2202
phc2sys[7941894.214]: CLOCK_REALTIME phc offset      -104 s2 freq  +10322 delay   2330
phc2sys[7941895.214]: CLOCK_REALTIME phc offset       -40 s2 freq  +10354 delay   2365
phc2sys[7941896.215]: CLOCK_REALTIME phc offset        39 s2 freq  +10421 delay   2331
phc2sys[7941897.215]: CLOCK_REALTIME phc offset       -23 s2 freq  +10371 delay   2371
phc2sys[7941898.216]: CLOCK_REALTIME phc offset       264 s2 freq  +10651 delay   2320
phc2sys[7941899.216]: CLOCK_REALTIME phc offset       130 s2 freq  +10596 delay   2370
phc2sys[7941900.216]: CLOCK_REALTIME phc offset       -52 s2 freq  +10453 delay   2325
phc2sys[7941901.217]: CLOCK_REALTIME phc offset       -80 s2 freq  +10410 delay   2325
phc2sys[7941902.217]: CLOCK_REALTIME phc offset       -73 s2 freq  +10393 delay   2325
phc2sys[7941903.217]: CLOCK_REALTIME phc offset       -92 s2 freq  +10352 delay   2371
phc2sys[7941904.218]: CLOCK_REALTIME phc offset       -74 s2 freq  +10342 delay   2370
phc2sys[7941905.218]: CLOCK_REALTIME phc offset       -12 s2 freq  +10382 delay   2371
phc2sys[7941906.218]: CLOCK_REALTIME phc offset        28 s2 freq  +10419 delay   2326
phc2sys[7941907.219]: CLOCK_REALTIME phc offset      -217 s2 freq  +10182 delay   1949
phc2sys[7941908.219]: CLOCK_REALTIME phc offset       237 s2 freq  +10571 delay   2325
phc2sys[7941909.220]: CLOCK_REALTIME phc offset        46 s2 freq  +10451 delay   2375
phc2sys[7941910.220]: CLOCK_REALTIME phc offset        27 s2 freq  +10446 delay   2325
phc2sys[7941911.220]: CLOCK_REALTIME phc offset      -253 s2 freq  +10174 delay   1944
phc2sys[7941912.221]: CLOCK_REALTIME phc offset       203 s2 freq  +10554 delay   2376
phc2sys[7941913.221]: CLOCK_REALTIME phc offset        21 s2 freq  +10433 delay   2371
phc2sys[7941914.221]: CLOCK_REALTIME phc offset        21 s2 freq  +10439 delay   2360
phc2sys[7941915.222]: CLOCK_REALTIME phc offset        -3 s2 freq  +10421 delay   2376
phc2sys[7941916.222]: CLOCK_REALTIME phc offset       -15 s2 freq  +10409 delay   2356
phc2sys[7941917.222]: CLOCK_REALTIME phc offset       -48 s2 freq  +10371 delay   2370
phc2sys[7941918.223]: CLOCK_REALTIME phc offset        18 s2 freq  +10423 delay   2330
phc2sys[7941919.223]: CLOCK_REALTIME phc offset       -20 s2 freq  +10390 delay   2331
phc2sys[7941920.224]: CLOCK_REALTIME phc offset         2 s2 freq  +10406 delay   2335
phc2sys[7941921.224]: CLOCK_REALTIME phc offset       -27 s2 freq  +10378 delay   2370
phc2sys[7941922.224]: CLOCK_REALTIME phc offset       -19 s2 freq  +10378 delay   2371
phc2sys[7941923.225]: CLOCK_REALTIME phc offset        45 s2 freq  +10436 delay   2371
phc2sys[7941924.225]: CLOCK_REALTIME phc offset        19 s2 freq  +10423 delay   2331
phc2sys[7941925.225]: CLOCK_REALTIME phc offset        -8 s2 freq  +10402 delay   2326
phc2sys[7941926.226]: CLOCK_REALTIME phc offset       -29 s2 freq  +10379 delay   2375
phc2sys[7941927.226]: CLOCK_REALTIME phc offset        21 s2 freq  +10420 delay   2326
phc2sys[7941928.227]: CLOCK_REALTIME phc offset       -34 s2 freq  +10371 delay   2370
phc2sys[7941929.227]: CLOCK_REALTIME phc offset        28 s2 freq  +10423 delay   2346
phc2sys[7941930.227]: CLOCK_REALTIME phc offset         0 s2 freq  +10403 delay   2371
phc2sys[7941931.228]: CLOCK_REALTIME phc offset        -4 s2 freq  +10399 delay   2375
phc2sys[7941932.228]: CLOCK_REALTIME phc offset        31 s2 freq  +10433 delay   2326
phc2sys[7941933.228]: CLOCK_REALTIME phc offset        -2 s2 freq  +10410 delay   2365
phc2sys[7941934.229]: CLOCK_REALTIME phc offset       -27 s2 freq  +10384 delay   2365
phc2sys[7941935.229]: CLOCK_REALTIME phc offset        -2 s2 freq  +10401 delay   2365
phc2sys[7941936.229]: CLOCK_REALTIME phc offset       -10 s2 freq  +10392 delay   2376
phc2sys[7941937.230]: CLOCK_REALTIME phc offset        49 s2 freq  +10448 delay   2330
phc2sys[7941938.230]: CLOCK_REALTIME phc offset       -29 s2 freq  +10385 delay   2370
phc2sys[7941939.230]: CLOCK_REALTIME phc offset        -3 s2 freq  +10402 delay   2370
phc2sys[7941940.231]: CLOCK_REALTIME phc offset         3 s2 freq  +10407 delay   2360
phc2sys[7941941.231]: CLOCK_REALTIME phc offset         6 s2 freq  +10411 delay   2325
phc2sys[7941942.232]: CLOCK_REALTIME phc offset         4 s2 freq  +10411 delay   2316
phc2sys[7941943.232]: CLOCK_REALTIME phc offset         7 s2 freq  +10415 delay   2336
phc2sys[7941944.232]: CLOCK_REALTIME phc offset       -39 s2 freq  +10371 delay   2365
